Variable,cu,co,Model,Pinball Loss,Best Params,delta C,sl
calamari,9.0,1.0,SAA,0.5118421052631579,N/A,,0.9
calamari,9.0,1.0,MLP,0.494511955928237,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 28), ('layer2', 114), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",0.033858389446117965,0.9
calamari,9.0,1.0,LGBM,0.3894812504200161,"OrderedDict([('learning_rate', 0.01), ('max_depth', 7), ('min_data_in_leaf', 50), ('n_estimators', 100), ('num_leaves', 127)])",0.23905976781693516,0.9
calamari,9.0,1.0,RFW,0.47368421052631576,"OrderedDict([('max_depth', 8), ('max_features', None), ('min_samples_split', 32), ('n_estimators', 10)])",0.07455012853470444,0.9
calamari,9.0,1.0,KNNW,0.375,"OrderedDict([('n_neighbors', 32)])",0.26735218508997427,0.9
calamari,9.0,1.0,DTW,0.3986842105263157,"OrderedDict([('max_depth', 4), ('min_samples_split', 64)])",0.2210796915167097,0.9
calamari,9.0,1.0,GKW,0.4184210526315789,"OrderedDict([('kernel_bandwidth', 2.5)])",0.18251928020565555,0.9
chicken,9.0,1.0,SAA,2.4618421052631576,N/A,,0.9
chicken,9.0,1.0,MLP,5.178921573774247,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 114), ('layer2', 114), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-1.1036773896677863,0.9
chicken,9.0,1.0,LGBM,4.9400362336206385,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 500), ('num_leaves', 31)])",-1.0066421900329692,0.9
chicken,9.0,1.0,RFW,2.4842105263157896,"OrderedDict([('max_depth', None), ('max_features', None), ('min_samples_split', 2), ('n_estimators', 100)])",-0.009086050240513233,0.9
chicken,9.0,1.0,KNNW,2.318421052631579,"OrderedDict([('n_neighbors', 8)])",0.058257616247995636,0.9
chicken,9.0,1.0,DTW,2.3039473684210527,"OrderedDict([('max_depth', 4), ('min_samples_split', 32)])",0.06413682522715114,0.9
chicken,9.0,1.0,GKW,1.91578947368421,"OrderedDict([('kernel_bandwidth', 2.5)])",0.2218065205772315,0.9
fish,9.0,1.0,SAA,0.40789473684210514,N/A,,0.9
fish,9.0,1.0,MLP,0.716125057524244,"OrderedDict([('alpha', 0.001), ('early_stopping', True), ('layer1', 114), ('layer2', 114), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.75566143134976,0.9
fish,9.0,1.0,LGBM,0.6159025966907661,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 20), ('n_estimators', 100), ('num_leaves', 127)])",-0.5099547531773625,0.9
fish,9.0,1.0,RFW,0.4013157894736842,"OrderedDict([('max_depth', 4), ('max_features', 'sqrt'), ('min_samples_split', 8), ('n_estimators', 10)])",0.01612903225806428,0.9
fish,9.0,1.0,KNNW,0.36578947368421044,"OrderedDict([('n_neighbors', 32)])",0.10322580645161283,0.9
fish,9.0,1.0,DTW,0.3921052631578947,"OrderedDict([('max_depth', 2), ('min_samples_split', 16)])",0.038709677419354716,0.9
fish,9.0,1.0,GKW,0.37631578947368405,"OrderedDict([('kernel_bandwidth', 3.0)])",0.07741935483870976,0.9
koefte,9.0,1.0,SAA,2.3881578947368425,N/A,,0.9
koefte,9.0,1.0,MLP,5.852080224836983,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 114), ('layer2', 114), ('learning_rate_init', 0.0005), ('max_iter', 1000), ('solver', 'adam')])",-1.450457835193447,0.9
koefte,9.0,1.0,LGBM,6.4338312670106745,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 50), ('n_estimators', 100), ('num_leaves', 63)])",-1.694056067728987,0.9
koefte,9.0,1.0,RFW,1.9368421052631581,"OrderedDict([('max_depth', 4), ('max_features', None), ('min_samples_split', 16), ('n_estimators', 50)])",0.1889807162534436,0.9
koefte,9.0,1.0,KNNW,1.8644736842105265,"OrderedDict([('n_neighbors', 32)])",0.21928374655647387,0.9
koefte,9.0,1.0,DTW,2.389473684210527,"OrderedDict([('max_depth', 4), ('min_samples_split', 16)])",-0.0005509641873280291,0.9
koefte,9.0,1.0,GKW,1.7921052631578942,"OrderedDict([('kernel_bandwidth', 2.5)])",0.24958677685950448,0.9
lamb,9.0,1.0,SAA,2.0618421052631577,N/A,,0.9
lamb,9.0,1.0,MLP,3.420102899167741,"OrderedDict([('alpha', 0.0001), ('early_stopping', True), ('layer1', 171), ('layer2', 114), ('learning_rate_init', 0.001), ('max_iter', 500), ('solver', 'adam')])",-0.6587608189964795,0.9
lamb,9.0,1.0,LGBM,2.0291670453339137,"OrderedDict([('learning_rate', 0.01), ('max_depth', 3), ('min_data_in_leaf', 50), ('n_estimators', 500), ('num_leaves', 127)])",0.015847508325606552,0.9
